,Index,Buy,Sell,Rate
2020-04-06 11:56:58,100.69,1247.8,1224.2,1236.0
2020-04-06 12:02:14,100.69,1248.1,1224.5,1236.3
2020-04-06 12:04:01,100.69,1247.5,1223.9,1235.7
2020-04-06 12:04:46,100.69,1247.0,1223.4,1235.2
2020-04-06 12:11:40,100.69,1246.7,1223.1,1234.9
2020-04-06 12:13:09,100.69,1246.2,1222.6,1234.4
2020-04-06 12:14:00,100.69,1245.5,1221.9,1233.7
2020-04-06 12:15:13,100.69,1245.8,1222.2,1234.0
2020-04-06 12:16:05,100.69,1246.1,1222.5,1234.3
2020-04-06 12:22:36,100.69,1246.6,1223.0,1234.8
2020-04-06 12:27:30,100.69,1246.3,1222.7,1234.5
2020-04-06 12:32:58,100.69,1245.5,1221.9,1233.7
2020-04-06 12:39:22,100.69,1245.6,1222.0,1233.8
2020-04-06 12:40:18,100.69,1246.0,1222.4,1234.2
2020-04-06 12:44:45,100.69,1246.6,1223.0,1234.8
2020-04-06 13:04:26,100.69,1245.7,1222.1,1233.9
2020-04-06 13:04:53,100.69,1245.5,1221.9,1233.7
2020-04-06 13:06:15,100.69,1245.3,1221.7,1233.5
2020-04-06 13:07:29,100.69,1245.1,1221.5,1233.3
2020-04-06 13:08:23,100.69,1245.3,1221.7,1233.5
2020-04-06 13:09:42,100.69,1245.6,1222.0,1233.8
2020-04-06 13:15:32,100.69,1244.8,1221.2,1233.0
2020-04-06 13:21:45,100.69,1245.0,1221.4,1233.2
2020-04-06 13:25:22,100.69,1244.7,1221.1,1232.9
2020-04-06 13:28:24,100.69,1244.7,1221.1,1232.9
2020-04-06 13:29:16,100.69,1245.0,1221.4,1233.2
2020-04-06 13:36:54,100.69,1244.3,1220.7,1232.5
2020-04-06 13:40:36,100.69,1244.7,1221.1,1232.9
2020-04-06 13:51:04,100.69,1245.0,1221.4,1233.2
2020-04-06 13:55:03,100.69,1244.5,1220.9,1232.7
2020-04-06 13:59:19,100.69,1244.7,1221.1,1232.9
2020-04-06 14:02:17,100.69,1244.3,1220.7,1232.5
2020-04-06 14:04:49,100.69,1244.7,1221.1,1232.9
2020-04-06 14:07:52,100.69,1244.9,1221.3,1233.1
2020-04-06 14:09:09,100.69,1245.2,1221.6,1233.4
2020-04-06 14:10:43,100.69,1244.7,1221.1,1232.9
2020-04-06 14:13:29,100.69,1244.4,1220.8,1232.6
2020-04-06 14:14:39,100.69,1244.8,1221.2,1233.0
2020-04-06 14:21:05,100.69,1244.4,1220.8,1232.6
2020-04-06 14:23:24,100.69,1244.0,1220.4,1232.2
2020-04-06 14:24:28,100.69,1243.8,1220.2,1232.0
2020-04-06 14:27:11,100.69,1243.5,1219.9,1231.7
2020-04-06 14:32:15,100.69,1243.7,1220.1,1231.9
2020-04-06 14:34:58,100.69,1243.4,1219.8,1231.6
2020-04-06 14:35:45,100.69,1243.5,1219.9,1231.7
2020-04-06 14:36:35,100.69,1244.0,1220.4,1232.2
2020-04-06 14:39:41,100.69,1243.8,1220.2,1232.0
2020-04-06 14:41:37,100.69,1243.3,1219.7,1231.5
2020-04-06 14:43:29,100.69,1242.7,1219.1,1230.9
2020-04-06 14:44:27,100.69,1242.3,1218.7,1230.5
2020-04-06 14:45:14,100.69,1241.7,1218.1,1229.9
2020-04-06 14:45:47,100.69,1241.6,1218.0,1229.8
2020-04-06 14:49:05,100.69,1242.1,1218.5,1230.3
2020-04-06 14:51:51,100.69,1241.8,1218.2,1230.0
2020-04-06 14:54:27,100.69,1242.1,1218.5,1230.3
2020-04-06 14:55:49,100.69,1241.4,1217.8,1229.6
2020-04-06 14:56:35,100.69,1241.9,1218.3,1230.1
